,catid,coid,phesid,phenotype,mean_diff_p_val,5th_percentile,25th_percentile,median,75th_percentile,95th_percentile
4,3,1697-0.0,1697,Comparative height size at age 10 (0.0),0.33999624905262155,0.03353669149433808,0.13001599744530673,0.2725944725376558,0.5040997774909941,0.8492381944814807
13,10,22702-0.0,22702,Home location - east co-ordinate (rounded) (0.0),0.21298936692874673,0.01361187772571724,0.061157660144980315,0.1466115653984541,0.2906423631751337,0.6495104122009365
15,10,20074-0.0,20074,Home location at assessment - east co-ordinate (rounded) (0.0),0.14843323740103959,0.006102771819435014,0.03455417154592619,0.08737787604792496,0.19489492387040028,0.5026984802126316
32,10,24003-0.0,24003,Nitrogen dioxide air pollution; 2010 (0.0),0.3012962930443484,0.02776158845317171,0.1022866518825393,0.23270855455704392,0.447324574233502,0.796536584307479
45,10,24004-0.0,24004,Nitrogen oxides air pollution; 2010 (0.0),0.32908752315987905,0.029066613539280483,0.11694217040085607,0.27546420935923716,0.4938037271224406,0.83658354077924
46,10,24500-0.0,24500,"Greenspace percentage, buffer 1000m (0.0)",0.5341722918981203,0.12287723996075653,0.31767802375222354,0.5327146528484358,0.7547953174524206,0.9583447311088389
48,10,24018-0.0,24018,Nitrogen dioxide air pollution; 2007 (0.0),0.32673485165016736,0.03355530911806835,0.12095603729098853,0.2646032716349188,0.48636894020665467,0.8532664882971742
49,10,24017-0.0,24017,Nitrogen dioxide air pollution; 2006 (0.0),0.3096755935053897,0.03096583118125863,0.10676549223642523,0.24426196392993335,0.4544808090351544,0.8346440789762907
50,10,24016-0.0,24016,Nitrogen dioxide air pollution; 2005 (0.0),0.19335612144299552,0.011672109041859446,0.04945231186911533,0.12981497025449507,0.26235371315868994,0.5922039349487236
91,10,1883-0.0,1883,Number of full sisters (0.0),0.5957222571732751,0.15575227155660562,0.42326534365570156,0.6048266502550974,0.8151293867084883,0.9653257676579678
111,10,24506-0.0,24506,"Natural environment percentage, buffer 1000m (0.0)",0.4027373271083671,0.04984653533023844,0.1721716392774473,0.3478567661463955,0.6103751184197412,0.9055440400480821
188,10,3-0.0,3,Verbal interview duration (0.0),0.15445476618666654,0.009168929925327586,0.04158855127090752,0.0993986592303775,0.21002787392873656,0.5011510782168893
237,11,1070-0.0,1070,Time spent watching television (TV) (0.0),0.582006810396377,0.1474651262298247,0.379584403231814,0.6056483492830846,0.8004978941520298,0.9553886599856312
272,11,1170-0.0,1170,Getting up in morning (0.0),0.550349445769317,0.14053324780348508,0.3335111033071063,0.5501465093213187,0.7710689013732965,0.9494558593157828
413,22,6020_1.0,6020_1.0,Completion status of test (1.0),0.0030695819548576813,7.897425599120495e-06,0.00010457716618274317,0.00046054574748787236,0.0022010108411957725,0.014521604019224248
427,22,4079-0.0,4079,"Diastolic blood pressure, automated reading (0.0)",0.13599619607062852,0.006155317963623499,0.029727827133735223,0.07674280750216075,0.17609486942808808,0.4888999045018343
429,22,4194-0.0,4194,Pulse rate (0.0),0.39562395160316344,0.0407058697777793,0.17127755741699127,0.3391884770623278,0.5933049155593025,0.8889655463952874
449,22,12336-2.0,12336,Ventricular rate (2.0),0.0013711366691841068,2.5522719641477247e-06,3.4124180001679165e-05,0.00020200405700135002,0.0009149112225832008,0.00570052752121419
467,30,30030-0.0,30030,Haematocrit percentage (0.0),0.5018555181385469,0.10098612214036898,0.2678234762991758,0.49076941212644276,0.7208450494206946,0.9473074720295284
493,30,30104-0.0,30104,Mean platelet (thrombocyte) volume acquisition route (0.0),0.00032023199562504983,1.9498822140411143e-07,4.078464459177694e-06,2.979661356237259e-05,0.0001633168445566245,0.0014610182472597577
517,30,30160-0.0,30160,Basophill count (0.0),0.10129742469026697,0.004162078646849061,0.02062175895830852,0.05803151141560289,0.14004098914203397,0.3491577461909625
541,32,4979_3.0,4979_3.0,FI5 : family relationship calculation (3.0),0.5621997457172387,0.13119136903248865,0.3500343134088546,0.5782919339850963,0.7814991479924851,0.9616564500100958
542,32,630-0.0,630,Touchscreen duration (0.0),0.18951372137346278,0.011167617952410731,0.05199571489870676,0.1253902708074458,0.2734084005304256,0.5808939310078022
543,32,4968_6.0,4968_6.0,FI4 : positional arithmetic (6.0),0.0012129061924914908,1.6308364114729325e-06,1.8664834141277097e-05,0.00013735406463719958,0.0006389795677131047,0.005130756002912667
546,32,4957_4.0,4957_4.0,FI3 : word interpolation (4.0),5.1542277943054865e-05,1.125779764343841e-08,2.3322391930647113e-07,2.064736313845543e-06,1.4569042419933579e-05,0.00018019051352977916
552,32,4935_15.0,4935_15.0,FI1 : numeric addition test (15.0),0.0004238238192995193,2.7620219526957757e-07,4.448220811396046e-06,3.5312659947801326e-05,0.00016404256030753075,0.0015628237537183667
555,32,4292_3.0,4292_3.0,PM: initial answer (3.0),0.0009575216367424921,1.1094400167569648e-06,2.02868948622341e-05,0.00011247927145762476,0.0005547627274183398,0.003729455791796778
577,32,4979_4.0,4979_4.0,FI5 : family relationship calculation (4.0),0.011758008990328543,7.723500810103364e-05,0.0006311421252889671,0.002744766568715552,0.010339375326316362,0.048227268746720516
580,32,4990_69.0,4990_69.0,FI6 : conditional arithmetic (69.0),0.002075953641163082,3.471610233045859e-06,5.3457595702539285e-05,0.00032370778562801307,0.001448009750781699,0.009735823345372542
584,32,5001_1.0,5001_1.0,FI7 : synonym (1.0),0.10627417370081499,0.00413691663490347,0.022630143479240257,0.055953749619451154,0.12621850659102996,0.37893269868626833
589,32,5001_3.0,5001_3.0,FI7 : synonym (3.0),0.0005920537998854949,5.552402230127637e-07,1.0349589641832738e-05,6.680363429079677e-05,0.0003163404162059693,0.002748943623959878
617,32,5012_26.0,5012_26.0,FI8 : chained arithmetic (26.0),0.0043554729875415225,9.974721474601341e-06,0.00013142643444752898,0.0007642016122050479,0.0030778762191674067,0.020594796886638275
934,51,20126_0.0,20126_0.0,Bipolar and major depression status (0.0),0.0005078506960816818,4.847491152361576e-07,7.011223699476467e-06,5.503539679419584e-05,0.00025947848816626484,0.0020507739263559252
